Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region20Guangxi_to_BeibuGulf_CO2_Pipeline,Region20Guangxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region20Guangxi,co2_transported_Region20Guangxi_to_BeibuGulf,1,0,0.000445506,1.34E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region20Guangxi_to_Region24Guizhou_CO2_Pipeline,Region20Guangxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region20Guangxi,co2_transported_Region20Guangxi_to_Region24Guizhou,1,0,0.000833543,1.40E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region20Guangxi_to_Region21Hainan_CO2_Pipeline,Region20Guangxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region20Guangxi,co2_transported_Region20Guangxi_to_Region21Hainan,1,0,0.000801061,1.27E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region20Guangxi_to_Region25Yunnan_CO2_Pipeline,Region20Guangxi,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region20Guangxi,co2_transported_Region20Guangxi_to_Region25Yunnan,1,0,0.001120639,2.10E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region24Guizhou_to_Region25Yunnan_CO2_Pipeline,Region24Guizhou,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region24Guizhou,co2_transported_Region24Guizhou_to_Region25Yunnan,1,0,0.000842813,1.50E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region21Hainan_to_BeibuGulf_CO2_Pipeline,Region21Hainan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region21Hainan,co2_transported_Region21Hainan_to_BeibuGulf,1,0,0.00020128,6.04E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region21Hainan_to_PearlRiverMouth_CO2_Pipeline,Region21Hainan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region21Hainan,co2_transported_Region21Hainan_to_PearlRiverMouth,1,0,0.000697586,2.09E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region21Hainan_to_Qiongdongnan_CO2_Pipeline,Region21Hainan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region21Hainan,co2_transported_Region21Hainan_to_Qiongdongnan,1,0,0.000915166,9.43E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region3Hebei_to_BohaiOnshore_CO2_Pipeline,Region3Hebei,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region3Hebei,co2_transported_Region3Hebei_to_BohaiOnshore,1,0,0.000637824,9.83E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region3Hebei_to_Region16Henan_CO2_Pipeline,Region3Hebei,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region3Hebei,co2_transported_Region3Hebei_to_Region16Henan,1,0,0.000859059,1.14E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region3Hebei_to_Region5Innermongolia_CO2_Pipeline,Region3Hebei,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region3Hebei,co2_transported_Region3Hebei_to_Region5Innermongolia,1,0,0.000681238,1.40E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region3Hebei_to_Qinshui_CO2_Pipeline,Region3Hebei,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region3Hebei,co2_transported_Region3Hebei_to_Qinshui,1,0,0.000454618,8.14E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region3Hebei_to_Region15Shandong_CO2_Pipeline,Region3Hebei,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region3Hebei,co2_transported_Region3Hebei_to_Region15Shandong,1,0,0.000719557,1.06E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region3Hebei_to_Region4Shanxi_CO2_Pipeline,Region3Hebei,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region3Hebei,co2_transported_Region3Hebei_to_Region4Shanxi,1,0,0.00042773,7.08E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region8Heilongjiang_to_Hailar_CO2_Pipeline,Region8Heilongjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region8Heilongjiang,co2_transported_Region8Heilongjiang_to_Hailar,1,0,0.001225817,3.13E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region8Heilongjiang_to_Sanjiang_CO2_Pipeline,Region8Heilongjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region8Heilongjiang,co2_transported_Region8Heilongjiang_to_Sanjiang,1,0,0.000828934,1.71E-05,0,0.08,25,15,0
OneWayTransmissionLink,Region8Heilongjiang_to_Songliao_CO2_Pipeline,Region8Heilongjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region8Heilongjiang,co2_transported_Region8Heilongjiang_to_Songliao,1,0,0.000371267,7.42E-06,0,0.08,25,15,0
OneWayTransmissionLink,Region16Henan_to_Hehuai_CO2_Pipeline,Region16Henan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2captured_Region16Henan,co2_transported_Region16Henan_to_Hehuai,1,0,0.000437935,5.66E-06,0,0.08,25,15,0
