zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
aluminum_Region4Shanxi_aluminum_Region31Xinjiang,0.0,0.0,41409.70207727939,0.0,0.0,0.0,0.0,41409.70207727939
aluminum_Region5Innermongolia_aluminum_Region1Beijing,0.0,0.0,3937.319508819253,0.0,0.0,0.0,0.0,3937.319508819253
aluminum_Region5Innermongolia_aluminum_Region2Tianjin,0.0,0.0,2160.3307941982134,0.0,0.0,0.0,0.0,2160.3307941982134
aluminum_Region5Innermongolia_aluminum_Region3Hebei,0.0,0.0,1277.8806879102422,0.0,0.0,0.0,0.0,1277.8806879102422
aluminum_Region5Innermongolia_aluminum_Region4Shanxi,0.0,0.0,950.9140747990677,0.0,0.0,0.0,0.0,950.9140747990677
aluminum_Region5Innermongolia_aluminum_Region6Liaoning,0.0,0.0,7011.600145414837,0.0,0.0,0.0,0.0,7011.600145414837
aluminum_Region5Innermongolia_aluminum_Region7Jilin,0.0,0.0,3657.1157632342147,0.0,0.0,0.0,0.0,3657.1157632342147
aluminum_Region5Innermongolia_aluminum_Region8Heilongjiang,0.0,0.0,4669.285686596491,0.0,0.0,0.0,0.0,4669.285686596491
aluminum_Region5Innermongolia_aluminum_Region9Shanghai,0.0,0.0,4030.3557246592145,0.0,0.0,0.0,0.0,4030.3557246592145
aluminum_Region5Innermongolia_aluminum_Region10Jiangsu,0.0,0.0,3674.1034346020942,0.0,0.0,0.0,0.0,3674.1034346020942
aluminum_Region5Innermongolia_aluminum_Region11Zhejiang,0.0,0.0,4093.5609317037747,0.0,0.0,0.0,0.0,4093.5609317037747
aluminum_Region5Innermongolia_aluminum_Region12Anhui,0.0,0.0,3095.5104775996233,0.0,0.0,0.0,0.0,3095.5104775996233
aluminum_Region5Innermongolia_aluminum_Region13Fujian,0.0,0.0,3422.292558850603,0.0,0.0,0.0,0.0,3422.292558850603
aluminum_Region5Innermongolia_aluminum_Region14Jiangxi,0.0,0.0,2862.412101604171,0.0,0.0,0.0,0.0,2862.412101604171
aluminum_Region5Innermongolia_aluminum_Region15Shandong,0.0,0.0,1674.346406699388,0.0,0.0,0.0,0.0,1674.346406699388
aluminum_Region5Innermongolia_aluminum_Region16Henan,0.0,0.0,1755.472318840866,0.0,0.0,0.0,0.0,1755.472318840866
aluminum_Region5Innermongolia_aluminum_Region17Hubei,0.0,0.0,2931.307684099211,0.0,0.0,0.0,0.0,2931.307684099211
aluminum_Region5Innermongolia_aluminum_Region18Hunan,0.0,0.0,2186.328966377033,0.0,0.0,0.0,0.0,2186.328966377033
aluminum_Region5Innermongolia_aluminum_Region19Guangdong,0.0,0.0,2293.847394016241,0.0,0.0,0.0,0.0,2293.847394016241
aluminum_Region5Innermongolia_aluminum_Region20Guangxi,0.0,0.0,1656.3071038597573,0.0,0.0,0.0,0.0,1656.3071038597573
aluminum_Region5Innermongolia_aluminum_Region21Hainan,0.0,0.0,1884.7983281480374,0.0,0.0,0.0,0.0,1884.7983281480374
aluminum_Region5Innermongolia_aluminum_Region22Chongqing,0.0,0.0,1373.1563967918557,0.0,0.0,0.0,0.0,1373.1563967918557
aluminum_Region5Innermongolia_aluminum_Region23Sichuan,0.0,0.0,1798.6676858952003,0.0,0.0,0.0,0.0,1798.6676858952003
aluminum_Region5Innermongolia_aluminum_Region24Guizhou,0.0,0.0,1342.331009286506,0.0,0.0,0.0,0.0,1342.331009286506
aluminum_Region5Innermongolia_aluminum_Region25Yunnan,0.0,0.0,1798.6902466383158,0.0,0.0,0.0,0.0,1798.6902466383158
aluminum_Region5Innermongolia_aluminum_Region27Shaanxi,0.0,0.0,2156.2705689243357,0.0,0.0,0.0,0.0,2156.2705689243357
aluminum_Region5Innermongolia_aluminum_Region28Gansu,0.0,0.0,4153.399847661782,0.0,0.0,0.0,0.0,4153.399847661782
aluminum_Region5Innermongolia_aluminum_Region29Qinghai,0.0,0.0,5695.997521559918,0.0,0.0,0.0,0.0,5695.997521559918
aluminum_Region5Innermongolia_aluminum_Region30Ningxia,0.0,0.0,33219.20197110608,0.0,0.0,0.0,0.0,33219.20197110608
aluminum_Region5Innermongolia_aluminum_Region31Xinjiang,0.0,0.0,4.6526370923287906e7,0.0,0.0,0.0,0.0,4.6526370923287906e7
aluminum_Region6Liaoning_aluminum_Region1Beijing,0.0,0.0,691.1022609976054,0.0,0.0,0.0,0.0,691.1022609976054
aluminum_Region6Liaoning_aluminum_Region2Tianjin,0.0,0.0,677.4099354536548,0.0,0.0,0.0,0.0,677.4099354536548
aluminum_Region6Liaoning_aluminum_Region3Hebei,0.0,0.0,714.2506664471965,0.0,0.0,0.0,0.0,714.2506664471965
aluminum_Region6Liaoning_aluminum_Region4Shanxi,0.0,0.0,720.9962437641018,0.0,0.0,0.0,0.0,720.9962437641018
aluminum_Region6Liaoning_aluminum_Region5Innermongolia,0.0,0.0,865.4262512044379,0.0,0.0,0.0,0.0,865.4262512044379
aluminum_Region6Liaoning_aluminum_Region7Jilin,0.0,0.0,916.7303407086202,0.0,0.0,0.0,0.0,916.7303407086202
aluminum_Region6Liaoning_aluminum_Region8Heilongjiang,0.0,0.0,1917.728944632494,0.0,0.0,0.0,0.0,1917.728944632494
aluminum_Region6Liaoning_aluminum_Region9Shanghai,0.0,0.0,1681.8672640920902,0.0,0.0,0.0,0.0,1681.8672640920902
aluminum_Region6Liaoning_aluminum_Region10Jiangsu,0.0,0.0,1521.6765011666253,0.0,0.0,0.0,0.0,1521.6765011666253
