id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region6Liaoning_scrapeaf100,284.5622595604986,42.733121549553,0.0,0.0,0.0,0.0,0.0,327.2953811100516
Region7Jilin_scrapeaf100,316.75984792889426,47.56827944952956,0.0,0.0,0.0,0.0,0.0,364.3281273784238
Region8Heilongjiang_scrapeaf100,330.3112951853263,49.603319667708426,0.0,0.0,0.0,0.0,0.0,379.9146148530347
Region9Shanghai_scrapeaf100,471.77048510630607,70.84644855813443,0.0,0.0,0.0,0.0,0.0,542.6169336644405
Region10Jiangsu_scrapeaf100,24902.163132993315,3739.5934571666585,0.0,0.0,0.0,0.0,0.0,28641.756590159974
Region11Zhejiang_scrapeaf100,411.18836995408117,61.74874567045179,0.0,0.0,0.0,0.0,0.0,472.93711562453296
Region12Anhui_scrapeaf100,1310.4221543311678,196.78796931381373,0.0,0.0,0.0,0.0,0.0,1507.2101236449816
Region13Fujian_scrapeaf100,340.29392579319847,51.102425585019276,0.0,0.0,0.0,0.0,0.0,391.39635137821773
Region14Jiangxi_scrapeaf100,423.204921011132,63.55328833088913,0.0,0.0,0.0,0.0,0.0,486.75820934202113
Region15Shandong_scrapeaf100,420.92930901694456,63.21155642273862,0.0,0.0,0.0,0.0,0.0,484.1408654396832
Region16Henan_scrapeaf100,442.23960694162,66.41175434385028,0.0,0.0,0.0,0.0,0.0,508.65136128547033
Region17Hubei_scrapeaf100,1131.560257534308,169.9280224318597,0.0,0.0,0.0,0.0,0.0,1301.4882799661677
Region18Hunan_scrapeaf100,442.50259069458133,66.45124699019841,0.0,0.0,0.0,0.0,0.0,508.9538376847797
Region19Guangdong_scrapeaf100,690.3616856700846,103.67260181465484,0.0,0.0,0.0,0.0,0.0,794.0342874847395
