zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region30Ningxia,5.453782513958192e10,1.775742749849045e10,2.73510608168611e9,2.8213574581476597e10,5.123349889068123e7,0.0,0.0,1.0329516680012576e11
Region29Qinghai,1.8404706058448494e10,9.731894059486591e9,3.6931547163047504e8,8.402891122610395e9,7.681892652135866e6,0.0,0.0,3.6916488604828094e10
Region27Shaanxi,2.2877593288680183e10,3.683287012141857e10,2.8651128058015366e9,7.712284025126476e10,6.12694025765677e7,0.0,0.0,1.397596858697416e11
Region15Shandong,2.5583482371473263e10,4.683911375438056e10,4.394510296445291e9,1.1822921578380688e11,1.4334064561188525e8,0.0,0.0,1.951896628517179e11
Region4Shanxi,2.2036786638042793e10,5.383469310725777e10,1.6962663897957561e10,1.2527659876959888e11,9.76800032880722e7,0.0,0.0,2.1820842241614508e11
Region23Sichuan,1.6984902980338916e11,5.6475587120869e10,3.719501003040893e9,1.1935388675040953e11,7.34218304603331e7,0.0,0.0,3.4947142650816895e11
Region26Tibet,8.06959168272193e10,8.218256016418947e9,1.1025974408361438e8,6.1124414382137165e9,8.336088093686833e6,0.0,0.0,9.514521011402927e10
Region31Xinjiang,1.4040749560876923e11,7.39967964547732e10,8.134720338615491e9,6.558826407673391e10,1.8970255469461627e7,0.0,0.0,2.8814624673436127e11
Region25Yunnan,2.0641734436289566e10,6.290060411650165e10,6.0356238071017475e9,9.695540413541037e10,6.890131694939444e6,0.0,0.0,1.865402566269983e11
Region11Zhejiang,1.1409538475723305e10,4.9508764490118805e10,6.076629832524834e9,1.1325289728844151e11,1.3015478080204734e8,0.0,0.0,1.803779848676105e11
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,63810.790287093434,0.0,0.0,0.0,0.0,63810.790287093434
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,1885.4784206328657,0.0,0.0,0.0,0.0,1885.4784206328657
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,1617.659848075612,0.0,0.0,0.0,0.0,1617.659848075612
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,1516.9254014854819,0.0,0.0,0.0,0.0,1516.9254014854819
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,4.189702203817733e6,0.0,0.0,0.0,0.0,4.189702203817733e6
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,5198.416955980731,0.0,0.0,0.0,0.0,5198.416955980731
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,6890.07003249199,0.0,0.0,0.0,0.0,6890.07003249199
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,8135.48716455894,0.0,0.0,0.0,0.0,8135.48716455894
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,8476.846871996982,0.0,0.0,0.0,0.0,8476.846871996982
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,6133.461229896421,0.0,0.0,0.0,0.0,6133.461229896421
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,5951.729717439602,0.0,0.0,0.0,0.0,5951.729717439602
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,4265.97046460873,0.0,0.0,0.0,0.0,4265.97046460873
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,3795.5822746912945,0.0,0.0,0.0,0.0,3795.5822746912945
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,5033.6040194895395,0.0,0.0,0.0,0.0,5033.6040194895395
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,3544.8139944991203,0.0,0.0,0.0,0.0,3544.8139944991203
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,3623.8578020186897,0.0,0.0,0.0,0.0,3623.8578020186897
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,3113.5456308759685,0.0,0.0,0.0,0.0,3113.5456308759685
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,3106.5167664557043,0.0,0.0,0.0,0.0,3106.5167664557043
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,2637.2471543101183,0.0,0.0,0.0,0.0,2637.2471543101183
