scenario,period,technology,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Fixed O&M,1633548377.1370332,18150537.523744814,ok,90.0
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Variable O&M,0.0,18150537.523744814,ok,0.0
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Coal,1573446666.8220978,18150537.523744814,ok,86.68870906791
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Natural Gas,0.0,18150537.523744814,structural_zero,0.0
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Steel Scrap,370270965.4843942,18150537.523744814,ok,20.4
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,DRI,0.0,18150537.523744814,structural_zero,0.0
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Hydrogen,0.0,18150537.523744814,structural_zero,0.0
no_cap,1,bfbof,Region23Sichuan,23,Sichuan,Electricity,130967840.0563789,18150537.523744814,ok,7.215645260370099
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Investment,22378.422956795483,3504036.72360673,ok,0.006386469298689659
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Fixed O&M,315363305.12460566,3504036.72360673,ok,89.99999999999999
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Variable O&M,0.0,3504036.72360673,ok,0.0
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Coal,231681676.43334284,3504036.72360673,ok,66.11850694158001
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Natural Gas,0.0,3504036.72360673,structural_zero,0.0
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Steel Scrap,71482349.16157728,3504036.72360673,ok,20.4
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,DRI,0.0,3504036.72360673,structural_zero,0.0
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Hydrogen,0.0,3504036.72360673,structural_zero,0.0
no_cap,1,bfbof,Region24Guizhou,24,Guizhou,Electricity,24867164.161405955,3504036.72360673,ok,7.096719048026987
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Investment,4796204380.042626,20940950.40029116,ok,229.0347041735002
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Fixed O&M,1884685536.026204,20940950.40029116,ok,89.99999999999999
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Variable O&M,0.0,20940950.40029116,ok,0.0
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Coal,1183190282.9533467,20940950.40029116,ok,56.501269538219994
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Natural Gas,0.0,20940950.40029116,structural_zero,0.0
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Steel Scrap,427195388.1659397,20940950.40029116,ok,20.400000000000002
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,DRI,0.0,20940950.40029116,structural_zero,0.0
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Hydrogen,0.0,20940950.40029116,structural_zero,0.0
no_cap,1,bfbof,Region25Yunnan,25,Yunnan,Electricity,155966030.59875518,20940950.40029116,ok,7.447896471622733
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Investment,5368.89614658032,12097567.880933627,ok,0.0004437996297621086
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Fixed O&M,1088781109.2840266,12097567.880933627,ok,90.00000000000001
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Variable O&M,0.0,12097567.880933627,ok,0.0
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Coal,715846049.9347327,12097567.880933627,ok,59.17272438396001
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Natural Gas,0.0,12097567.880933627,structural_zero,0.0
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Steel Scrap,246790384.771046,12097567.880933627,ok,20.400000000000002
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,DRI,0.0,12097567.880933627,structural_zero,0.0
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Hydrogen,0.0,12097567.880933627,structural_zero,0.0
no_cap,1,bfbof,Region27Shaanxi,27,Shaanxi,Electricity,79275492.7294235,12097567.880933627,ok,6.553010779494417
no_cap,1,bfbof,Region28Gansu,28,Gansu,Investment,3457.439926960848,10003778.29773077,ok,0.0003456134096599406
no_cap,1,bfbof,Region28Gansu,28,Gansu,Fixed O&M,900340046.7957692,10003778.29773077,ok,89.99999999999999
no_cap,1,bfbof,Region28Gansu,28,Gansu,Variable O&M,0.0,10003778.29773077,ok,0.0
no_cap,1,bfbof,Region28Gansu,28,Gansu,Coal,706866775.4097555,10003778.29773077,ok,70.65998009672998
no_cap,1,bfbof,Region28Gansu,28,Gansu,Natural Gas,0.0,10003778.29773077,structural_zero,0.0
no_cap,1,bfbof,Region28Gansu,28,Gansu,Steel Scrap,204077077.2737077,10003778.29773077,ok,20.4
no_cap,1,bfbof,Region28Gansu,28,Gansu,DRI,0.0,10003778.29773077,structural_zero,0.0
