period,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
1,Region29Qinghai,29,Qinghai,Steel Scrap,18406149.528699882,902262.2317990136,ok,20.400000000000006
1,Region29Qinghai,29,Qinghai,DRI,0.0,902262.2317990136,structural_zero,0.0
1,Region29Qinghai,29,Qinghai,Hydrogen,0.0,902262.2317990136,structural_zero,0.0
1,Region29Qinghai,29,Qinghai,Electricity,6042703.836441628,902262.2317990136,ok,6.697281148955031
1,Region30Ningxia,30,Ningxia,Investment,1664.6640533478455,5299780.556349739,ok,0.000314100562400341
1,Region30Ningxia,30,Ningxia,Fixed O&M,476980250.0714766,5299780.556349739,ok,90.0
1,Region30Ningxia,30,Ningxia,Variable O&M,0.0,5299780.556349739,ok,0.0
1,Region30Ningxia,30,Ningxia,Coal,277499237.0586394,5299780.556349739,ok,52.36051457379
1,Region30Ningxia,30,Ningxia,Natural Gas,0.0,5299780.556349739,structural_zero,0.0
1,Region30Ningxia,30,Ningxia,Steel Scrap,108115523.3495347,5299780.556349739,ok,20.400000000000006
1,Region30Ningxia,30,Ningxia,DRI,0.0,5299780.556349739,structural_zero,0.0
1,Region30Ningxia,30,Ningxia,Hydrogen,0.0,5299780.556349739,structural_zero,0.0
1,Region30Ningxia,30,Ningxia,Electricity,36020858.25973588,5299780.556349739,ok,6.796669763350636
1,Region31Xinjiang,31,Xinjiang,Investment,1992.1522077802292,14602683.119489383,ok,0.00013642371004554741
1,Region31Xinjiang,31,Xinjiang,Fixed O&M,1314241480.7540443,14602683.119489383,ok,89.99999999999999
1,Region31Xinjiang,31,Xinjiang,Variable O&M,0.0,14602683.119489383,ok,0.0
1,Region31Xinjiang,31,Xinjiang,Coal,468124899.3454921,14602683.119489383,ok,32.05745790105601
1,Region31Xinjiang,31,Xinjiang,Natural Gas,0.0,14602683.119489383,structural_zero,0.0
1,Region31Xinjiang,31,Xinjiang,Steel Scrap,297894735.63758343,14602683.119489383,ok,20.400000000000002
1,Region31Xinjiang,31,Xinjiang,DRI,0.0,14602683.119489383,structural_zero,0.0
1,Region31Xinjiang,31,Xinjiang,Hydrogen,0.0,14602683.119489383,structural_zero,0.0
1,Region31Xinjiang,31,Xinjiang,Electricity,76118119.52787073,14602683.119489383,ok,5.212611881324751
2,Region1Beijing,1,Beijing,Investment,2135.449047968749,55792663.01059206,ok,3.827472883958489e-05
2,Region1Beijing,1,Beijing,Fixed O&M,10042679341.906569,55792663.01059206,ok,179.99999999999997
2,Region1Beijing,1,Beijing,Variable O&M,0.0,55792663.01059206,ok,0.0
2,Region1Beijing,1,Beijing,Coal,3726189470.1038733,55792663.01059206,ok,66.7863706272
2,Region1Beijing,1,Beijing,Natural Gas,0.0,55792663.01059206,structural_zero,0.0
2,Region1Beijing,1,Beijing,Steel Scrap,1138170325.4160779,55792663.01059206,ok,20.4
2,Region1Beijing,1,Beijing,DRI,0.0,55792663.01059206,structural_zero,0.0
2,Region1Beijing,1,Beijing,Hydrogen,0.0,55792663.01059206,structural_zero,0.0
2,Region1Beijing,1,Beijing,Electricity,422053058.71548724,55792663.01059206,ok,7.564669545086274
2,Region2Tianjin,2,Tianjin,Investment,2178.5436433845057,77467.9814194733,ok,0.028121858908238963
2,Region2Tianjin,2,Tianjin,Fixed O&M,13944236.655505195,77467.9814194733,ok,180.0
2,Region2Tianjin,2,Tianjin,Variable O&M,0.0,77467.9814194733,ok,0.0
2,Region2Tianjin,2,Tianjin,Coal,5701533.461821791,77467.9814194733,ok,73.59858043737
2,Region2Tianjin,2,Tianjin,Natural Gas,0.0,77467.9814194733,structural_zero,0.0
2,Region2Tianjin,2,Tianjin,Steel Scrap,1580346.8209572555,77467.9814194733,ok,20.400000000000002
2,Region2Tianjin,2,Tianjin,DRI,0.0,77467.9814194733,structural_zero,0.0
2,Region2Tianjin,2,Tianjin,Hydrogen,0.0,77467.9814194733,structural_zero,0.0
2,Region2Tianjin,2,Tianjin,Electricity,584195.8926865114,77467.9814194733,ok,7.541127082209744
2,Region3Hebei,3,Hebei,Investment,2164.581389438524,209935475.09369606,ok,1.031069850615982e-05
