sweep,slack,seed,direction,status,rank,violation_model_units,classification,original_constraint,mapped_constraint
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,15,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434943] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434943]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,16,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079508] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079508]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,17,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[21003] + _[4079521] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period1 + _[4079521]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,18,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434740] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434740]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,19,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8197969] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8197969]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,20,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434962] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434962]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,21,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[12376320] + _[16434735] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period4 + _[16434735]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,22,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8198021] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8198021]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,23,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8198097] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8198097]{unmapped} ≤ 0
MGA_sweep_qR2KFX,slack_0.10,seed_1,max,LOCALLY_SOLVED,24,55974.843332455275,Anhui-Hubei flow/capacity (capacity index match),-_[4139442] + _[8198099] ≤ 0,-vCAP_Region12Anhui_to_Region17Hubei_CO2_Pipeline_transmission_edge_period2 + _[8198099]{unmapped} ≤ 0
