zone,Investment_cap,FixedOM_cap,VariableOM_cap,Startup_cap,NonServedDemand_cap,Supply_cap,UnmetPolicyPenalty_cap,Total_cap,Investment_no_cap,FixedOM_no_cap,VariableOM_no_cap,Startup_no_cap,NonServedDemand_no_cap,Supply_no_cap,UnmetPolicyPenalty_no_cap,Total_no_cap,Investment_diff,FixedOM_diff,VariableOM_diff,Startup_diff,NonServedDemand_diff,Supply_diff,UnmetPolicyPenalty_diff,Total_diff,Total_pct_change
Region12Anhui_methanol_gas_ccs_transforms_methanol_Region12Anhui,3786603.950579157,487118.00329541694,0.0,0.0,0.0,0.0,0.0,4273721.953874574,2388337.655778677,307241.6036274998,0.0,0.0,0.0,0.0,0.0,2695579.259406177,1398266.29480048,179876.39966791717,0.0,0.0,0.0,0.0,0.0,1578142.6944683972,58.545586777368754
Region12Anhui_methanol_h2_transforms_methanol_Region12Anhui,2288056.536384602,286007.0787789201,0.0,0.0,0.0,0.0,0.0,2574063.6151635223,1465682.7962074247,183210.35704047032,0.0,0.0,0.0,0.0,0.0,1648893.153247895,822373.7401771774,102796.72173844979,0.0,0.0,0.0,0.0,0.0,925170.4619156274,56.10857562803749
Region12Anhui_scrapeaf100_transforms_crudesteel_Region12Anhui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.3187087499464,267.20283558979736,0.0,0.0,0.0,0.0,0.0,2046.5215443397435,-1779.3187087499464,-267.20283558979736,0.0,0.0,0.0,0.0,0.0,-2046.5215443397435,-100.0
Region12Anhui_scrapeaf56_transforms_crudesteel_Region12Anhui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.5065928833068,1190.2618814301748,0.0,0.0,0.0,0.0,0.0,1901.7684743134816,-711.5065928833068,-1190.2618814301748,0.0,0.0,0.0,0.0,0.0,-1901.7684743134816,-100.0
Region12Anhui_tradcement_transforms_cement_Region12Anhui,1087.2415984948118,2865831.786714281,4239313807.1332474,0.0,0.0,0.0,0.0,4242180726.16156,765.8954366709102,2865831.923033306,4239314008.78467,0.0,0.0,0.0,0.0,4242180606.60314,321.34616182390164,-0.13631902495399117,-201.65142250061035,0.0,0.0,0.0,0.0,119.55842018127441,2.818324613411709e-06
Region13Fujian,95853645.91434725,8942770379.832466,2378981435.5504513,3234355.039681143,0.0,0.0,0.0,11420839816.336945,60305220.37135831,6668705363.675949,2376891637.9148617,1709010.48537854,0.0,0.0,0.0,9107611232.447548,35548425.54298893,2274065016.156517,2089797.6355895996,1525344.5543026032,0.0,0.0,0.0,2313228583.8893967,25.39885075076648
Region13Fujian_ammonia_coal_ccs_transforms_ammonia_Region13Fujian,1202231.60084051,150292.5887708384,0.0,0.0,0.0,0.0,0.0,1352524.1896113483,606869.5101679079,75865.57337659378,0.0,0.0,0.0,0.0,0.0,682735.0835445017,595362.0906726022,74427.01539424462,0.0,0.0,0.0,0.0,0.0,669789.1060668466,98.10380661699052
Region13Fujian_ammonia_coal_transforms_ammonia_Region13Fujian,77805861.3219188,105791466.65291747,0.0,0.0,0.0,0.0,0.0,183597327.9748363,79499931.44759078,106010960.84771074,0.0,0.0,0.0,0.0,0.0,185510892.29530153,-1694070.1256719828,-219494.19479326904,0.0,0.0,0.0,0.0,0.0,-1913564.320465237,-1.0315104934211468
Region13Fujian_ammonia_gas_ccs_transforms_ammonia_Region13Fujian,1016298.7195722712,127051.73188885246,0.0,0.0,0.0,0.0,0.0,1143350.4514611235,487806.5120337322,60982.72189758351,0.0,0.0,0.0,0.0,0.0,548789.2339313157,528492.2075385391,66069.00999126895,0.0,0.0,0.0,0.0,0.0,594561.2175298078,108.34053964043704
Region13Fujian_ammonia_gas_transforms_ammonia_Region13Fujian,3561106.8807796664,445042.3068617694,0.0,0.0,0.0,0.0,0.0,4006149.187641436,2025619.8916859748,253147.84969993457,0.0,0.0,0.0,0.0,0.0,2278767.7413859093,1535486.9890936916,191894.45716183484,0.0,0.0,0.0,0.0,0.0,1727381.4462555265,75.8033131189123
Region13Fujian_ammonia_h2_transforms_ammonia_Region13Fujian,1594025.822695409,199229.12932146652,0.0,0.0,0.0,0.0,0.0,1793254.9520168754,940073.204412579,117494.93850536388,0.0,0.0,0.0,0.0,0.0,1057568.1429179427,653952.61828283,81734.19081610264,0.0,0.0,0.0,0.0,0.0,735686.8090989327,69.56401003807609
Region13Fujian_bfbof_transforms_crudesteel_Region13Fujian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2869.678441502821,2272957346.983695,0.0,0.0,0.0,0.0,0.0,2272960216.662137,-2869.678441502821,-2272957346.983695,0.0,0.0,0.0,0.0,0.0,-2272960216.662137,-100.0
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65700.68269745466,9855.649352646164,0.0,0.0,0.0,0.0,0.0,75556.33205010083,-65700.68269745466,-9855.649352646164,0.0,0.0,0.0,0.0,0.0,-75556.33205010083,-100.0
Region13Fujian_drieaf_transforms_crudesteel_Region13Fujian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690436.0809741386,103627.8385548888,0.0,0.0,0.0,0.0,0.0,794063.9195290273,-690436.0809741386,-103627.8385548888,0.0,0.0,0.0,0.0,0.0,-794063.9195290273,-100.0
Region13Fujian_gasdri_transforms_dri_Region13Fujian,2908.2722441496976,436.24083662245454,0.0,0.0,0.0,0.0,0.0,3344.513080772152,1733.5981724522394,260.0397258678359,0.0,0.0,0.0,0.0,0.0,1993.6378983200752,1174.6740716974582,176.20111075461864,0.0,0.0,0.0,0.0,0.0,1350.8751824520768,67.7593049164235
Region13Fujian_gasdriccs_transforms_dri_Region13Fujian,4275.3595244187245,641.4509888685899,0.0,0.0,0.0,0.0,0.0,4916.810513287314,1531.0632976555976,229.7121588704551,0.0,0.0,0.0,0.0,0.0,1760.7754565260527,2744.296226763127,411.73882999813475,0.0,0.0,0.0,0.0,0.0,3156.0350567612613,179.24119995334362
